Fecha,Transacción_Detalle,Documento,Lugar,Débitos,Créditos,Saldo
2024 NOV 21,"DEBITO POR RECAUDO DOMICILIACIONES - VANTI GAS NATURAL CU63526031",,,"11920.00",0.00,198465.47
2024 NOV 22,"COMPRA EN CANAL ELECTRONI",A5836989,"ASCREDIBANCO","18900.00",0.00,179565.47
2024 NOV 22,"COMPRA EN CANAL ELECTRONI",59920609,"REDEBAN","34000.00",0.00,145565.47
2024 NOV 22,"COMPRA EN CANAL ELECTRONI",75169423,"ASCREDIBANCO","39000.00",0.00,106565.47
2024 NOV 23,"COMPRA EN CANAL ELECTRONI",Z2422393,"ASCREDIBANCO","24900.00",0.00,81665.47
2024 NOV 24,"COMPRA EN CANAL ELECTRONI",J1731249,"ASCREDIBANCO","20700.00",0.00,60965.47
2024 NOV 28,"TRANSFERENCIA OTRA ENTIDA - 000009001696089 PAGOS 000000000000000000000000 00000000000000000",00794073,"ACH",0.00,"6249835.00",6310800.47
2024 NOV 28,"DEBITO POR RECAUDO DOMICILIACIONES - ENEL 76436009",,,"92960.00",0.00,6217840.47
2024 NOV 29,"RETIRO RED PROPIA",20478667,"ZIPAQUIRA III","200000.00",0.00,6017840.47
2024 NOV 30,"DEBITO POR RECAUDO DOMICILIACIONES - ETB REGIONAL BOGOTA 12055099721",,,"31900.00",0.00,5985940.47
2024 NOV 30,"DB TRANSFEREN OTRA CUENTA",65947200,"INTERNET","500000.00",0.00,5485940.47
2024 NOV 30,"ABONO DE INTERESES",12345678,"CALLE 53",0.00,"210.67",5486151.14
2024 DIC 01,"COMPRA EN CANAL ELECTRONI",Z2423303,ASCREDIBANCO,62500.00,0.00,5423651.14
2024 DIC 02,"COMPRA INTERNET - 122841733155892110 Recarga Nequi PSE",93150313,INTERNET,500000.00,0.00,4923651.14
2024 DIC 02,"DB TRANSFEREN OTRA CUENTA",27670692,INTERNET,2000000.00,0.00,2923651.14
2024 DIC 02,"DB TRANSFEREN OTRA CUENTA",82129416,INTERNET,400000.00,0.00,2523651.14
2024 DIC 02,"COMPRA INTERNET - 175301733182431915 Recarga Nequi PSE",94855812,INTERNET,500000.00,0.00,2023651.14
2024 DIC 02,"COMPRA EN CANAL ELECTRONI",C4224959,REDEBAN,19000.00,0.00,2004651.14
2024 DIC 04,"TRASLADO A OTRA ENTIDAD",77710492,INTERNET,839034.00,0.00,1165617.14
2024 DIC 05,"COMPRA EN CANAL ELECTRONI",W5382813,REDEBAN,29400.00,0.00,1136217.14
2024 DIC 07,"RETIRO RED PROPIA",31325822,"QUIRIGUA III",150000.00,0.00,986217.14
2024 DIC 08,"COMPRA EN CANAL ELECTRONI",BDNF4072,ASCREDIBANCO,270913.00,0.00,715304.14
2024 DIC 13,"COMPRA EN CANAL ELECTRONI",Z2421858,ASCREDIBANCO,24900.00,0.00,690404.14
2024 DIC 13,"COMPRA EN CANAL ELECTRONI",Z4495669,REDEBAN,120000.00,0.00,570404.14
2024 DIC 15,"COMPRA INTERNET - 126171734287261348 Recarga Nequi PSE",28622274,INTERNET,250000.00,0.00,320404.14
2024 DIC 15,"COMPRA EN CANAL ELECTRONI",Z8896541,REDEBAN,25300.00,0.00,295104.14
2024 DIC 16,"DEBITO POR RECAUDO DOMICILIACIONES - CLARO HOGAR 70141243",,,14306.00,0.00,280798.14
2024 DIC 17,"COMPRA EN CANAL ELECTRONI",Z3459791,ASCREDIBANCO,44000.00,0.00,236798.14
2024 DIC 19,"DEBITO POR RECAUDO DOMICILIACIONES - VANTI GAS NATURAL CU63526031",,,17820.00,0.00,218978.14
2024 DIC 20,"TRANSFERENCIA OTRA ENTIDA - 000009001696089 PAGOS 000000000000000000000000 00000000000000000",06394138,ACH,0.00,3774834.00,3993812.14
2024 DIC 21,"RETIRO RED PROPIA",00455029,"PRADO VERANIEGO",300000.00,0.00,3693812.14
2024 DIC 21,"COMPRA EN CANAL ELECTRONI",SSXP8462,ASCREDIBANCO,31900.00,0.00,3661912.14
2024 DIC 21,"COMPRA EN CANAL ELECTRONI",K1135101,REDEBAN,178552.00,0.00,3483360.14
2024 DIC 22,"COMPRA EN CANAL ELECTRONI",Z9449687,REDEBAN,94000.00,0.00,3389360.14
2024 DIC 23,"COMPRA EN CANAL ELECTRONI",TNGD8921,ASCREDIBANCO,60650.00,0.00,3328710.14
2024 DIC 23,"DB TRANSFEREN OTRA CUENTA",49975166,INTERNET,500000.00,0.00,2828710.14
2024 DIC 24,"COMPRA EN CANAL ELECTRONI",90041680,ASCREDIBANCO,125890.00,0.00,2702820.14
2024 DIC 24,"COMPRA EN CANAL ELECTRONI",Z4462197,REDEBAN,59850.00,0.00,2642970.14
2024 DIC 26,"COMPRA EN CANAL ELECTRONI",Z3767970,ASCREDIBANCO,12500.00,0.00,2630470.14
2024 DIC 26,"COMPRA EN CANAL ELECTRONI",90562659,REDEBAN,5890.00,0.00,2624580.14
2024 DIC 26,"COMPRA INTERNET - 6292550 Dep sito a Daviplata por PSE",55019164,INTERNET,500000.00,0.00,2124580.14
2024 DIC 27,"TRANSFERENCIA OTRA ENTIDA - 000009001696089 PAGOS 000000000000000000000000 00000000000000000",07829182,ACH,0.00,6106133.00,8230713.14
2024 DIC 27,"DEBITO POR RECAUDO DOMICILIACIONES - ENEL 76436009",,,109620.00,0.00,8121093.14
2024 DIC 27,"COMPRA EN CANAL ELECTRONI",A4577433,ASCREDIBANCO,47600.00,0.00,8073493.14
2024 DIC 27,"COMPRA EN CANAL ELECTRONI",87262225,REDEBAN,37330.00,0.00,8036163.14
2024 DIC 27,"COMPRA EN CANAL ELECTRONI",Z9834226,REDEBAN,20700.00,0.00,8015463.14
2024 DIC 28,"COMPRA EN CANAL ELECTRONI",Q2656731,REDEBAN,100000.00,0.00,7915463.14
